Tempo; Valor
2,53224405;-77,64411856
2,5332244;-76,73917828
2,53420475;-74,74750571
2,5351851;-71,3820672
2,53616545;-66,90173989
2,5371458;-62,2046679
2,53812615;-58,5271383
2,5391065;-56,74759911
2,54008685;-56,7800257
2,5410672;-57,5656985
2,54204755;-57,73803889
2,5430279;-56,49418333
2,54400825;-54,02805167
2,5449886;-51,24437766
2,54596895;-49,00216241
2,5469493;-47,44231299
2,54792965;-45,89994109
2,54891;-43,46552824
2,54989035;-39,74388012
2,5508707;-35,21296268
2,55185105;-30,89188378
2,5528314;-27,57412648
2,55381175;-25,30277876
2,5547921;-23,56936605
2,55577245;-21,93364544
2,5567528;-20,33550106
2,55773315;-18,8958568
2,5587135;-17,62753225
2,55969385;-16,37782785
2,5606742;-14,97921497
2,56165455;-13,44674713
2,5626349;-11,99451776
2,56361525;-10,79404718
2,5645956;-9,718770137
2,56557595;-8,324423866
2,5665563;-6,068815632
2,56753665;-2,636144141
2,568517;1,835469639
2,56949735;6,824314782
2,5704777;11,78477457
2,57145805;16,49585204
2,5724384;21,06731446
2,57341875;25,62391957
2,5743991;30,05471952
2,57537945;34,12668625
2,5763598;37,77551088
2,57734015;41,12716964
2,5783205;44,22168916
2,57930085;46,8970383
2,5802812;49,01556186
2,58126155;50,70051546
2,5822419;52,30785202
2,58322225;54,18414375
2,5842026;56,44874404
2,58518295;58,98518029
2,5861633;61,5204292
2,58714365;63,6504067
2,588124;64,99537141
2,58910435;65,52751227
2,5900847;65,71977454
2,59106505;66,33856352
2,5920454;68,03415705
2,59302575;70,9174514
2,5940061;74,39186331
2,59498645;77,44968237
2,5959668;79,23667385
2,59694715;79,52119733
2,5979275;78,86674374
2,59890785;78,38174081
2,5998882;79,07270496
2,60086855;81,19659408
2,6018489;84,11915343
2,60282925;86,81861431
2,6038096;88,70129845
2,60478995;90,09848662
2,6057703;91,94502219
2,60675065;94,90029511
2,607731;98,8033217
2,60871135;102,9095281
2,6096917;106,4519283
2,61067205;108,9974139
2,6116524;110,6009385
2,61263275;111,785308
2,6136131;113,1712132
2,61459345;114,953441
2,6155738;116,7300894
2,61655415;117,8027393
2,6175345;117,6646934
2,61851485;116,4208412
2,6194952;114,9028443
2,62047555;114,2564151
2,6214559;115,2050641
2,62243625;117,6188017
2,6234166;120,7188648
2,62439695;123,67338
2,6253773;126,1864725
2,62635765;128,7135737
2,627338;132,04446
2,62831835;136,5027748
2,6292987;141,4825549
2,63027905;145,7861493
2,6312594;148,4980276
2,63223975;149,6655609
2,6332201;150,2013292
2,63420045;151,1082382
2,6351808;152,8042441
2,63616115;155,1403915
2,6371415;157,8815687
2,63812185;161,0799431
2,6391022;165,0812836
2,64008255;170,2611532
2,6410629;176,716605
2,64204325;183,9940505
2,6430236;190,8979276
2,64400395;195,773617
2,6449843;197,5140761
2,64596465;196,5089634
2,646945;194,4027503
2,64792535;192,7994224
2,6489057;192,2540329
2,64988605;192,3413442
2,6508664;192,2642911
2,65184675;191,2834197
2,6528271;189,0628638
2,65380745;186,1168277
2,6547878;183,8245471
2,65576815;183,6259186
2,6567485;186,023317
2,65772885;190,2873516
2,6587092;195,0384579
2,65968955;199,0773608
2,6606699;201,7290032
2,66165025;202,7162677
2,6626306;202,1121104
2,66361095;200,4397015
2,6645913;198,5477508
2,66557165;197,2200632
2,666552;196,8585347
2,66753235;197,5072473
2,6685127;199,1071062
2,66949305;201,5441352
2,6704734;204,3514137
2,67145375;206,6278787
2,6724341;207,6497996
2,67341445;207,6603172
2,6743948;207,891385
2,67537515;209,6406301
2,6763555;213,1794068
2,67733585;217,4792571
2,6783162;221,0528996
2,67929655;223,0861885
2,6802769;223,7404292
2,68125725;223,5297321
2,6822376;222,6974542
2,68321795;221,3159516
2,6841983;219,8191309
2,68517865;219,0927109
2,686159;219,7943164
2,68713935;221,5793295
2,6881197;223,1279393
